"ngram" "target" "count"
"7045" "creme" "fraiche" 26
"7046" "cremesheen" "formula" 3
"7047" "cremini" "mushrooms" 3
"7048" "crepe" "paper" 18
"7049" "crept" "closer" 5
"7050" "crescent" "moon" 29
"7051" "crest" "d" 4
"7052" "crested" "butte" 4
"7053" "crestfallen" "look" 3
"7054" "crestline" "homes" 4
"7055" "creuset" "stoneware" 3
"7056" "creve" "coeur" 13
"7057" "crew" "members" 39
"7058" "crewel" "embroidery" 3
"7059" "crews" "working" 5
"7060" "crib" "bedding" 6
"7061" "cricket" "new" 17
"7062" "cricketing" "world" 3
"7063" "crickets" "chirping" 5
"7064" "cricky" "design" 5
"7065" "cricut" "cartridge" 72
"7066" "cried" "like" 21
"7067" "cries" "like" 3
"7068" "crime" "scene" 58
"7069" "crimean" "war" 13
"7070" "crimen" "injuria" 3
"7071" "crimes" "committed" 23
"7072" "criminal" "minds" 89
"7073" "criminally" "insane" 4
"7074" "criminals" "will" 5
"7075" "crimp" "edges" 5
"7076" "crimson" "red" 9
"7077" "cringe" "worthy" 15
"7078" "crinkle" "ribbon" 4
"7079" "crip" "walks" 4
"7080" "cripple" "us" 3
"7081" "crippled" "man" 4
"7082" "crippling" "shyness" 3
"7083" "cris" "carter" 14
"7084" "crishawn" "hopkins" 3
"7085" "crisis" "averted" 15
"7086" "crisp" "white" 17
"7087" "crisper" "drawer" 3
"7088" "crispin" "porter" 3
"7089" "crispy" "fried" 9
"7090" "criss" "cross" 21
"7091" "crissy" "s" 3
"7092" "cristiano" "ronaldo" 9
"7093" "cristina" "s" 3
"7094" "cristo" "rey" 6
"7095" "crit" "partner" 9
"7096" "criteria" "will" 3
"7097" "criterion" "collection" 9
"7098" "critic" "s" 14
"7099" "critical" "thinking" 66
"7100" "critically" "acclaimed" 48
"7101" "criticism" "get" 4
"7102" "criticize" "wait" 9
"7103" "criticized" "president" 4
"7104" "criticizing" "obama" 3
"7105" "critics" "say" 16
"7106" "critique" "group" 24
"7107" "critter" "cartridge" 3
"7108" "critters" "farm" 4
"7109" "crj" "class" 3
"7110" "crm" "systems" 3
"7111" "cro" "magnon" 4
"7112" "croatia" "s" 3
"7113" "croce" "s" 5
"7114" "crochet" "hook" 16
"7115" "crocheted" "ribbon" 3
"7116" "crock" "pot" 95
"7117" "crocker" "save" 4
"7118" "crockpot" "add" 3
"7119" "crocodile" "tears" 12
"7120" "crocs" "said" 4
"7121" "crohn" "s" 12
"7122" "croissant" "made" 5
"7123" "croix" "river" 3
"7124" "cromwell" "s" 3
"7125" "cronenberg" "s" 8
"7126" "crony" "capitalism" 15
"7127" "crooked" "little" 6
"7128" "crop" "circles" 16
"7129" "cropped" "hair" 5
"7130" "crops" "grow" 4
"7131" "croque" "monsieur" 7
"7132" "croquet" "mallet" 3
"7133" "crore" "billion" 4
"7134" "crosby" "s" 11
"7135" "cross" "country" 111
"7136" "crossed" "paths" 15
"7137" "crosses" "fingers" 21
"7138" "crossfit" "assault" 6
"7139" "crossing" "fingers" 32
"7140" "crossover" "hit" 6
"7141" "crosstown" "classic" 3
"7142" "crossword" "puzzle" 15
"7143" "crouch" "s" 4
"7144" "crouched" "behind" 4
"7145" "crow" "s" 15
"7146" "crowd" "sourcing" 24
"7147" "crowdclick" "com" 65
"7148" "crowded" "house" 8
"7149" "crowder" "peas" 4
"7150" "crowdfunding" "bill" 3
"7151" "crowding" "around" 5
"7152" "crowds" "around" 5
"7153" "crowe" "s" 7
"7154" "crown" "heights" 59
"7155" "crowne" "plaza" 12
"7156" "crowned" "miss" 5
"7157" "crowning" "glory" 4
"7158" "crowntm" "mc" 4
"7159" "crows" "feet" 6
"7160" "croydon" "station" 3
"7161" "crss" "event" 3
"7162" "crtasa" "blogspot" 5
"7163" "cru" "de" 8
"7164" "crucial" "part" 17
"7165" "crucially" "important" 5
"7166" "cruciate" "ligament" 5
"7167" "crucified" "died" 7
"7168" "cruddas" "park" 3
"7169" "crude" "oil" 40
"7170" "crudely" "drawn" 3
"7171" "cruel" "intentions" 12
"7172" "cruelest" "month" 3
"7173" "cruellest" "month" 5
"7174" "cruelty" "free" 13
"7175" "cruise" "ship" 41
"7176" "cruised" "around" 4
"7177" "cruising" "around" 12
"7178" "crumb" "cake" 51
"7179" "crumble" "topping" 4
"7180" "crumbled" "goat" 6
"7181" "crumbling" "around" 4
"7182" "crumbly" "add" 5
"7183" "crumbs" "form" 4
"7184" "crump" "gracey" 3
"7185" "crumpled" "paper" 3
"7186" "crunch" "time" 55
"7187" "crunching" "numbers" 5
"7188" "crunchy" "texture" 7
"7189" "crunk" "alert" 3
"7190" "crunkest" "party" 5
"7191" "crunkforchrist" "radio" 10
"7192" "crusader" "s" 4
"7193" "crush" "favorite" 9
"7194" "crushed" "red" 26
"7195" "crushing" "weight" 7
"7196" "crust" "pizza" 8
"7197" "crusted" "chicken" 3
"7198" "crusty" "bread" 26
"7199" "cruz" "s" 10
"7200" "cruze" "models" 3
"7201" "cry" "baby" 36
"7202" "cryan" "d" 3
"7203" "cryin" "bout" 3
"7204" "crying" "right" 32
"7205" "cryogen" "white" 7
"7206" "cryogenically" "frozen" 6
"7207" "cryonic" "suspension" 3
"7208" "crypt" "keeper" 4
"7209" "cryptic" "tweet" 6
"7210" "crystal" "clear" 74
"7211" "crystallized" "ginger" 10
"7212" "crystals" "watch" 3
"7213" "crz" "hybrid" 3
"7214" "cs" "lewis" 12
"7215" "csa" "box" 9
"7216" "csh" "d" 4
"7217" "csi" "miami" 22
"7218" "cska" "moscow" 3
"7219" "csn" "stores" 9
"7220" "cso" "index" 4
"7221" "csr" "s" 3
"7222" "css" "js" 8
"7223" "cst" "today" 10
"7224" "csu" "s" 5
"7225" "csv" "file" 3
"7226" "ct" "show" 51
"7227" "cta" "s" 5
"7228" "ctfu" "rt" 3
"7229" "cthulhu" "mythos" 4
"7230" "ctia" "roundup" 3
"7231" "ctmh" "ink" 5
"7232" "ctrl" "v" 4
"7233" "ctv" "ca" 4
"7234" "cty" "museum" 3
"7235" "cu" "s" 11
"7236" "cuar" "n" 3
"7237" "cub" "scouts" 15
"7238" "cuba" "s" 14
"7239" "cuban" "missile" 15
"7240" "cubbies" "tonight" 3
"7241" "cubby" "hole" 7
"7242" "cube" "trays" 8
"7243" "cubed" "chicken" 3
"7244" "cubic" "feet" 14
"7245" "cubizolles" "mj" 11
"7246" "cubs" "game" 52
"7247" "cucina" "povera" 3
"7248" "cuckoo" "s" 8
"7249" "cucumber" "slices" 15
"7250" "cucumbers" "lettuce" 3
"7251" "cud" "go" 3
"7252" "cuddle" "buddy" 34
"7253" "cuddling" "together" 8
"7254" "cuddly" "toy" 12
"7255" "cudi" "s" 5
"7256" "cue" "langen" 5
"7257" "cueto" "s" 3
"7258" "cuff" "bracelet" 6
"7259" "cuisinart" "ss" 8
"7260" "cuisine" "paris" 3
"7261" "cuito" "cuanavale" 5
"7262" "cul" "de" 23
"7263" "culinary" "arts" 10
"7264" "cullen" "s" 4
"7265" "culminating" "event" 3
"7266" "culpable" "homicide" 3
"7267" "cult" "following" 11
"7268" "cultfit" "hq" 13
"7269" "cultivate" "cheerfulness" 4
"7270" "cultural" "center" 45
"7271" "culturally" "diverse" 7
"7272" "culture" "shock" 34
"7273" "cultured" "buttermilk" 8
"7274" "cultures" "around" 5
"7275" "cultuschichi" "us" 5
"7276" "culver" "city" 32
"7277" "cum" "laude" 9
"7278" "cumberland" "county" 10
"7279" "cumbia" "bachata" 5
"7280" "cumin" "seeds" 42
"7281" "cumming" "quickly" 3
"7282" "cummings" "said" 3
"7283" "cumplea" "os" 5
"7284" "cumulative" "effect" 5
"7285" "cunard" "modeling" 3
"7286" "cunning" "plan" 10
"7287" "cunningham" "s" 6
"7288" "cuny" "grad" 5
"7289" "cuomo" "says" 5
"7290" "cup" "sugar" 50
"7291" "cupboard" "door" 4
"7292" "cupcake" "liners" 18
"7293" "cupcakes" "today" 8
"7294" "cupertino" "calif" 4
"7295" "cupid" "s" 17
"7296" "cuppa" "tea" 4
"7297" "cupped" "hands" 3
"7298" "cups" "water" 22
"7299" "cupsofhope" "com" 3
"7300" "cura" "ao" 4
"7301" "curate" "content" 4
"7302" "curb" "appeal" 9
"7303" "curd" "filling" 6
"7304" "curdling" "scream" 5
"7305" "cure" "event" 11
"7306" "cured" "meats" 7
"7307" "curenet" "paul" 3
"7308" "cures" "everything" 3
"7309" "curfew" "proposal" 3
"7310" "curing" "cancer" 3
"7311" "curiosity" "got" 9
"7312" "curious" "george" 13
"7313" "curiousity" "got" 3
"7314" "curiously" "enough" 5
"7315" "curl" "pattern" 4
"7316" "curled" "around" 5
"7317" "curlie" "girls" 3
"7318" "curling" "iron" 15
"7319" "curly" "hair" 60
"7320" "curren" "y" 16
"7321" "currency" "exchange" 5
"7322" "current" "state" 67
"7323" "currently" "working" 107
"7324" "curricular" "activities" 21
"7325" "curriculum" "vitae" 6
"7326" "curried" "away" 7
"7327" "curry" "leaves" 58
"7328" "curse" "words" 14
"7329" "cursed" "earth" 3
"7330" "cursing" "someone" 3
"7331" "cursory" "glance" 10
"7332" "curt" "schilling" 6
"7333" "curtain" "call" 8
"7334" "curtains" "will" 3
"7335" "curtis" "painter" 10
"7336" "curve" "ball" 16
"7337" "curved" "shape" 4
"7338" "curves" "class" 5
"7339" "curving" "back" 3
"7340" "curvy" "figure" 3
"7341" "cus" "im" 14
"7342" "cusack" "kick" 3
"7343" "cuse" "game" 5
"7344" "cush" "sc" 4
"7345" "cushion" "cover" 7
"7346" "cusotm" "apparel" 3
"7347" "cuss" "words" 12
"7348" "cust" "service" 15
"7349" "custard" "powder" 6
"7350" "custodial" "sentence" 7
"7351" "custody" "bankruptcy" 22
"7352" "custom" "made" 41
"7353" "customary" "two" 3
"7354" "customer" "service" 530
"7355" "customers" "will" 22
"7356" "customization" "options" 3
"7357" "customized" "homes" 4
"7358" "customs" "authorities" 11
"7359" "custserv" "rt" 3
"7360" "cut" "back" 126
"7361" "cute" "little" 313
"7362" "cutefest" "puppies" 3
"7363" "cuter" "lol" 3
"7364" "cutest" "thing" 74
"7365" "cuthbert" "s" 4
"7366" "cutie" "pie" 17
"7367" "cutler" "s" 7
"7368" "cutoff" "man" 3
"7369" "cuts" "will" 9
"7370" "cutter" "s" 5
"7371" "cutting" "edge" 115
"7372" "cuttle" "bug" 3
"7373" "cuttlebug" "embossing" 21
"7374" "cutty" "sark" 4
"7375" "cuv" "e" 4
"7376" "cuvee" "des" 3
"7377" "cuyahoga" "county" 95
"7378" "cuz" "u" 146
"7379" "cuzin" "follow" 10
"7380" "cuzzo" "just" 3
"7381" "cv" "council" 8
"7382" "cvc" "s" 4
"7383" "cvs" "caremark" 4
"7384" "cw" "news" 7
"7385" "cwg" "book" 4
"7386" "cww" "m" 3
"7387" "cy" "young" 27
"7388" "cya" "soon" 7
"7389" "cyber" "monday" 51
"7390" "cyberbullying" "research" 3
"7391" "cybermonday" "deals" 3
"7392" "cybersecurity" "purposes" 6
"7393" "cybersmart" "subscriber" 3
"7394" "cyberstationusa" "com" 14
"7395" "cybill" "shepherd" 4
"7396" "cycle" "continues" 11
"7397" "cycled" "item" 3
"7398" "cycles" "per" 6
"7399" "cyclical" "bull" 9
"7400" "cycling" "infrastructure" 8
"7401" "cyclothon" "hyderabad" 3
"7402" "cyd" "charisse" 7
"7403" "cygnus" "knights" 4
"7404" "cylinder" "engine" 5
"7405" "cylindrical" "body" 3
"7406" "cyn" "spinnin" 9
"7407" "cyndi" "lauper" 12
"7408" "cynical" "view" 4
"7409" "cynthia" "harris" 28
"7410" "cypress" "hill" 11
"7411" "cyril" "osborne" 7
"7412" "cyrus" "farivar" 4
"7413" "cyst" "removed" 3
"7414" "cystic" "fibrosis" 23
"7415" "cytomegalovirus" "infection" 11
"7416" "czar" "committee" 4
"7417" "czech" "republic" 50
"7418" "d" "like" 1950
"7419" "da" "best" 104
"7420" "dab" "hand" 7
"7421" "dacri" "says" 3
"7422" "dad" "s" 409
"7423" "dada" "life" 5
"7424" "dadar" "east" 3
"7425" "daddy" "s" 95
"7426" "dade" "county" 26
"7427" "dads" "house" 10
"7428" "dae" "su" 60
"7429" "daemon" "s" 3
"7430" "daffodil" "delight" 21
"7431" "daffy" "dan" 3
"7432" "daft" "punk" 27
"7433" "dag" "hammarskjold" 8
"7434" "dagdan" "s" 6
"7435" "dagenham" "council" 3
"7436" "dagestan" "makhachkala" 3
"7437" "dagnomusic" "com" 22
"7438" "dagoberto" "gilb" 3
"7439" "dagwood" "s" 3
"7440" "dah" "dah" 14
"7441" "dahl" "s" 7
"7442" "dahlia" "seed" 15
"7443" "dahmer" "tour" 3
"7444" "dai" "ichi" 3
"7445" "daiichi" "nuclear" 23
"7446" "daikon" "radish" 4
"7447" "daily" "basis" 280
"7448" "dailyfeedback" "songs" 5
"7449" "dailygroupsavings" "com" 4
"7450" "dailyhookahtip" "don" 6
"7451" "dailymail" "co" 3
"7452" "daim" "zainuddin" 4
"7453" "daini" "site" 3
"7454" "dairsie" "bridge" 5
"7455" "dairy" "queen" 64
"7456" "daisaku" "ikeda" 4
"7457" "daisey" "s" 4
"7458" "daisuke" "matsuzaka" 4
"7459" "daisy" "dukes" 13
"7460" "daiya" "cheese" 4
"7461" "dajtumir" "chestnut" 3
"7462" "dakota" "township" 23
"7463" "dal" "cup" 10
"7464" "dalai" "lama" 83
"7465" "dalbir" "kaur" 4
"7466" "dale" "carnegie" 57
"7467" "dalek" "beach" 6
"7468" "daley" "plaza" 6
"7469" "dalgety" "bay" 3
"7470" "dalhousie" "university" 3
"7471" "dali" "s" 3
"7472" "dallas" "tx" 73
"7473" "dalton" "s" 3
"7474" "dalwinder" "kaur" 3
"7475" "daly" "s" 5
"7476" "dam" "right" 9
"7477" "damage" "attacks" 76
"7478" "damaged" "goods" 14
"7479" "damages" "caused" 5
"7480" "damaging" "winds" 33
"7481" "damask" "paper" 6
"7482" "dame" "de" 7
"7483" "damian" "lewis" 5
"7484" "damien" "hirst" 14
"7485" "dammit" "just" 5
"7486" "damn" "good" 263
"7487" "damnation" "belgian" 5
"7488" "damned" "thing" 13
"7489" "damning" "indictment" 3
"7490" "damnit" "forgot" 3
"7491" "damon" "albarn" 11
"7492" "damp" "cloth" 18
"7493" "damper" "body" 7
"7494" "dan" "s" 38
"7495" "dana" "white" 8
"7496" "danae" "s" 3
"7497" "danbury" "ct" 4
"7498" "dance" "party" 154
"7499" "danceclub" "lotus" 13
"7500" "danced" "around" 15
"7501" "danceistheanswer" "org" 7
"7502" "dancer" "s" 10
"7503" "danceradio" "ca" 6
"7504" "dancers" "today" 5
"7505" "dances" "around" 5
"7506" "dancin" "shoes" 6
"7507" "dancing" "around" 40
"7508" "dandelion" "wine" 6
"7509" "dandruff" "boy" 3
"7510" "dandy" "little" 3
"7511" "dane" "county" 29
"7512" "danforth" "quayle" 3
"7513" "dang" "good" 18
"7514" "danger" "zone" 19
"7515" "dangerous" "thing" 18
"7516" "dangerously" "close" 19
"7517" "dangle" "earrings" 4
"7518" "dangling" "like" 3
"7519" "dani" "stevenson" 6
"7520" "danica" "patrick" 17
"7521" "danicos" "little" 11
"7522" "daniel" "s" 46
"7523" "daniele" "tavella" 4
"7524" "danielle" "s" 5
"7525" "daniels" "cohen" 4
"7526" "danika" "cooley" 3
"7527" "danilo" "gallinari" 3
"7528" "danish" "government" 7
"7529" "danity" "kane" 4
"7530" "dank" "ass" 3
"7531" "dannapools" "net" 3
"7532" "dannie" "richmond" 3
"7533" "dannon" "s" 3
"7534" "danny" "granger" 22
"7535" "dans" "le" 5
"7536" "danse" "macabre" 4
"7537" "dant" "s" 7
"7538" "dante" "s" 13
"7539" "danube" "blue" 5
"7540" "danze" "davis" 7
"7541" "dap" "s" 8
"7542" "daphne" "du" 9
"7543" "dappled" "shade" 4
"7544" "dar" "al" 16
"7545" "darby" "said" 3
"7546" "darcy" "s" 22
"7547" "dare" "say" 38
"7548" "dared" "believe" 3
"7549" "daren" "t" 5
"7550" "dareproject" "chatter" 9
"7551" "darer" "littman" 4
"7552" "dari" "atas" 3
"7553" "darien" "lake" 4
"7554" "daring" "adventure" 19
"7555" "dario" "argento" 7
"7556" "darius" "miller" 16
"7557" "darjeeling" "tea" 3
"7558" "dark" "chocolate" 210
"7559" "darke" "academy" 4
"7560" "darkened" "room" 12
"7561" "darkening" "sky" 4
"7562" "darker" "side" 15
"7563" "darkest" "hour" 15
"7564" "darklordday" "com" 3
"7565" "darkly" "comic" 3
"7566" "darkness" "will" 7
"7567" "darksideshields" "com" 11
"7568" "darkwing" "duck" 3
"7569" "darlene" "s" 3
"7570" "darlin" "don" 4
"7571" "darling" "little" 18
"7572" "darlings" "come" 4
"7573" "darlington" "nagbe" 5
"7574" "darlinson" "star" 3
"7575" "darn" "good" 58
"7576" "darndest" "things" 6
"7577" "darned" "good" 3
"7578" "darnell" "mcdonald" 4
"7579" "darnyl" "lemon" 3
"7580" "darrell" "issa" 9
"7581" "darrelle" "revis" 5
"7582" "darren" "shan" 9
"7583" "darron" "thomas" 11
"7584" "darrow" "memorial" 3
"7585" "darryl" "strawberry" 3
"7586" "darsie" "beck" 3
"7587" "dart" "rail" 4
"7588" "darted" "back" 5
"7589" "darth" "vader" 42
"7590" "darting" "back" 4
"7591" "dartmouth" "college" 4
"7592" "darts" "football" 3
"7593" "darvish" "s" 5
"7594" "darwin" "s" 34
"7595" "darwinian" "evolution" 8
"7596" "daryl" "hannah" 6
"7597" "daryldorsey" "com" 11
"7598" "das" "rheingold" 3
"7599" "daser" "comfort" 3
"7600" "dash" "back" 5
"7601" "dashboard" "confessional" 13
"7602" "dashed" "back" 5
"7603" "dashiell" "hammett" 7
"7604" "dashing" "across" 3
"7605" "dastardly" "llp" 4
"7606" "dat" "shit" 47
"7607" "data" "center" 44
"7608" "database" "management" 7
"7609" "databases" "company" 3
"7610" "datajack" "mifi" 4
"7611" "dataran" "merdeka" 43
"7612" "date" "night" 156
"7613" "dated" "april" 13
"7614" "dateline" "nbc" 5
"7615" "dates" "back" 52
"7616" "dathan" "ritzenhein" 3
"7617" "datin" "seri" 3
"7618" "dating" "back" 66
"7619" "datingchicagoland" "com" 6
"7620" "dato" "thasleem" 3
"7621" "datpiff" "com" 7
"7622" "dats" "y" 13
"7623" "datta" "gupta" 9
"7624" "datuk" "seri" 42
"7625" "datz" "right" 3
"7626" "daubert" "challenges" 3
"7627" "daughter" "s" 368
"7628" "daughters" "will" 5
"7629" "daunting" "task" 35
"7630" "dave" "s" 66
"7631" "davenport" "s" 3
"7632" "davey" "johnson" 8
"7633" "david" "s" 153
"7634" "davidoff" "says" 6
"7635" "davidson" "s" 6
"7636" "davie" "s" 4
"7637" "davies" "s" 5
"7638" "davinci" "virtual" 11
"7639" "davis" "said" 24
"7640" "davison" "era" 7
"7641" "davonte" "neal" 3
"7642" "davy" "jones" 78
"7643" "dawg" "u" 3
"7644" "dawkins" "s" 5
"7645" "dawn" "s" 27
"7646" "dawned" "bright" 4
"7647" "dawny" "s" 3
"7648" "dawson" "s" 19
"7649" "day" "today" 1012
"7650" "daycare" "center" 6
"7651" "daydream" "action" 5
"7652" "daylight" "savings" 95
"7653" "dayna" "martin" 4
"7654" "dayron" "robles" 3
"7655" "days" "ago" 551
"7656" "daytime" "tv" 11
"7657" "dayton" "oh" 14
"7658" "daytona" "beach" 22
"7659" "dayum" "dayum" 5
"7660" "dayy" "d" 4
"7661" "daz" "ravage" 9
"7662" "daze" "like" 3
"7663" "dazed" "confused" 3
"7664" "dazzling" "diamonds" 9
"7665" "db" "s" 11
"7666" "dbacks" "game" 5
"7667" "dbi" "bit" 3
"7668" "dbl" "punch" 20
"7669" "dbo" "t" 4
"7670" "dbs" "tear" 4
"7671" "dc" "area" 75
"7672" "dca" "dfw" 3
"7673" "dcafterwork" "com" 5
"7674" "dcc" "theater" 5
"7675" "dccodeathon" "eventbrite" 5
"7676" "dcf" "c" 3
"7677" "dck" "cr" 3
"7678" "dcmi" "mike" 3
"7679" "dcns" "s" 3
"7680" "dcs" "williams" 21
"7681" "dcswa" "prof" 5
"7682" "dctech" "meetup" 4
"7683" "dctheatre" "community" 3
"7684" "dcwv" "s" 5
"7685" "dd" "s" 13
"7686" "dddb" "s" 3
"7687" "ddl" "provider" 3
"7688" "ddnt" "get" 3
"7689" "ddos" "attack" 5
"7690" "ddr" "memory" 5
"7691" "de" "mayo" 828
"7692" "dea" "raids" 3
"7693" "deacon" "s" 9
"7694" "dead" "end" 72
"7695" "deadbeat" "dad" 5
"7696" "deadliest" "catch" 13
"7697" "deadline" "today" 9
"7698" "deadly" "sins" 12
"7699" "deadpan" "delivery" 4
"7700" "deaf" "ears" 26
"7701" "deafening" "silence" 9
"7702" "deakin" "university" 3
"7703" "deal" "w" 85
"7704" "dealer" "reporter" 13
"7705" "dealers" "room" 7
"7706" "dealin" "wit" 3
"7707" "dealing" "w" 44
"7708" "dealoria" "com" 14
"7709" "deals" "today" 15
"7710" "dealshow" "com" 29
"7711" "dealt" "w" 4
"7712" "dean" "s" 35
"7713" "deandre" "jordan" 17
"7714" "deanie" "s" 3
"7715" "deanna" "durbin" 6
"7716" "deans" "list" 5
"7717" "dear" "friend" 238
"7718" "dearborn" "s" 4
"7719" "dearest" "friends" 32
"7720" "deargod" "thank" 3
"7721" "dearly" "love" 10
"7722" "deas" "vail" 4
"7723" "death" "penalty" 105
"7724" "deathbeat" "jam" 4
"7725" "deathly" "hallows" 23
"7726" "deaths" "occur" 4
"7727" "deb" "s" 10
"7728" "debate" "tonight" 23
"7729" "debated" "whether" 17
"7730" "debates" "start" 3
"7731" "debating" "whether" 30
"7732" "debbi" "moore" 3
"7733" "debbie" "s" 15
"7734" "debby" "ryan" 6
"7735" "debilitating" "injuries" 3
"7736" "debit" "card" 74
"7737" "deboer" "said" 4
"7738" "deborah" "eisenberg" 4
"7739" "debra" "messing" 9
"7740" "debris" "removal" 3
"7741" "debt" "ceiling" 58
"7742" "debtor" "s" 5
"7743" "debussy" "s" 3
"7744" "debut" "album" 120
"7745" "debuts" "new" 7
"7746" "dec" "th" 117
"7747" "decade" "ago" 61
"7748" "decadent" "chocolate" 5
"7749" "decades" "ago" 91
"7750" "decaf" "coffee" 7
"7751" "decaffeinated" "green" 4
"7752" "decapitated" "head" 3
"7753" "decatur" "ga" 8
"7754" "decay" "naked" 5
"7755" "decca" "records" 4
"7756" "deceased" "s" 14
"7757" "deceived" "neither" 5
"7758" "deceiving" "people" 4
"7759" "december" "th" 124
"7760" "decent" "amount" 31
"7761" "decently" "ironed" 4
"7762" "deceptively" "simple" 16
"7763" "decibel" "level" 6
"7764" "decide" "whether" 132
"7765" "decided" "upon" 25
"7766" "decidedly" "un" 8
"7767" "decides" "whether" 7
"7768" "deciding" "whether" 27
"7769" "deciduous" "trees" 5
"7770" "decimal" "point" 5
"7771" "decimals" "percents" 3
"7772" "decision" "making" 197
"7773" "decisions" "decisions" 101
"7774" "decisive" "action" 8
"7775" "decisively" "defeated" 3
"7776" "deck" "chairs" 8
"7777" "deckard" "s" 4
"7778" "decker" "buses" 7
"7779" "decking" "lumber" 3
"7780" "declan" "mccullagh" 3
"7781" "declaratory" "judgment" 5
"7782" "declare" "war" 13
"7783" "declared" "war" 15
"7784" "declares" "war" 5
"7785" "declaring" "war" 6
"7786" "decline" "since" 3
"7787" "declined" "comment" 6
"7788" "declining" "population" 3
"7789" "deco" "inspired" 5
"7790" "decoder" "ring" 3
"7791" "deconstructed" "sketch" 3
"7792" "decor" "items" 5
"7793" "decorate" "cookies" 4
"7794" "decorated" "like" 6
"7795" "decorating" "ideas" 11
"7796" "decoration" "day" 4
"7797" "decorative" "element" 7
"7798" "decorum" "est" 3
"7799" "decrease" "due" 3
"7800" "decreased" "appetite" 3
"7801" "dect" "ule" 4
"7802" "dedicate" "time" 5
"7803" "dedicated" "fan" 8
"7804" "dedication" "hard" 11
"7805" "deductive" "reasoning" 3
"7806" "dee" "dee" 25
"7807" "deed" "goes" 5
"7808" "deeds" "done" 4
"7809" "deem" "necessary" 7
"7810" "deemed" "necessary" 9
"7811" "deems" "appropriate" 3
"7812" "deen" "s" 3
"7813" "deenie" "nast" 3
"7814" "deep" "breath" 195
"7815" "deepak" "chopra" 32
"7816" "deeper" "level" 27
"7817" "deepest" "darkest" 13
"7818" "deepika" "padukone" 5
"7819" "deeply" "rooted" 25
"7820" "deepwater" "horizon" 12
"7821" "deer" "hunter" 10
"7822" "deere" "john" 3
"7823" "deerfield" "beach" 4
"7824" "deering" "grange" 3
"7825" "deez" "nuts" 11
"7826" "def" "need" 39
"7827" "defamation" "league" 11
"7828" "default" "setting" 10
"7829" "defazio" "said" 5
"7830" "defeat" "al" 7
"7831" "defeated" "d" 3
"7832" "defeating" "effect" 4
"7833" "defective" "product" 3
"7834" "defence" "league" 32
"7835" "defend" "us" 3
"7836" "defendant" "s" 37
"7837" "defender" "s" 4
"7838" "defending" "champion" 10
"7839" "defendingchildhood" "task" 4
"7840" "defense" "attorney" 27
"7841" "defenseless" "player" 4
"7842" "defenseman" "drew" 3
"7843" "defensive" "end" 40
"7844" "defensor" "santiago" 3
"7845" "defer" "judgment" 5
"7846" "deff" "need" 7
"7847" "defiantly" "need" 5
"7848" "deficiency" "can" 3
"7849" "deficit" "reduction" 14
"7850" "defies" "logic" 6
"7851" "definately" "worth" 3
"7852" "definatly" "going" 3
"7853" "define" "us" 13
"7854" "defined" "benefit" 6
"7855" "defines" "us" 6
"7856" "definetly" "going" 3
"7857" "defining" "moment" 17
"7858" "definite" "must" 8
"7859" "definitely" "going" 120
"7860" "definition" "video" 5
"7861" "definitions" "section" 3
"7862" "definitive" "answer" 9
"7863" "deflated" "balloon" 4
"7864" "deflect" "criticism" 3
"7865" "deflection" "test" 5
"7866" "defriend" "people" 3
"7867" "deft" "touch" 5
"7868" "defund" "planned" 3
"7869" "defy" "anyone" 7
"7870" "defying" "gravity" 4
"7871" "deg" "c" 11
"7872" "degeneracy" "pressure" 3
"7873" "degenerative" "disease" 7
"7874" "degeneres" "show" 4
"7875" "degrading" "treatment" 7
"7876" "degrasse" "tyson" 12
"7877" "degrassi" "season" 3
"7878" "degraw" "s" 3
"7879" "degree" "weather" 109
"7880" "degrees" "f" 131
"7881" "deh" "ah" 4
"7882" "dehmer" "clinical" 4
"7883" "dehydrated" "garlic" 3
"7884" "deighton" "s" 5
"7885" "deion" "sanders" 18
"7886" "deir" "yassin" 4
"7887" "deirdre" "baugh" 3
"7888" "deities" "like" 4
"7889" "deity" "s" 3
"7890" "deja" "vu" 40
"7891" "dejah" "thoris" 3
"7892" "dejuan" "blair" 4
"7893" "dekalb" "county" 6
"7894" "deke" "dickerson" 3
"7895" "del" "mar" 72
"7896" "delafield" "hotel" 3
"7897" "delaney" "s" 6
"7898" "delano" "johnson" 20
"7899" "delany" "s" 3
"7900" "delaware" "river" 7
"7901" "delay" "getting" 5
"7902" "delayed" "response" 25
"7903" "delays" "due" 5
"7904" "delectable" "treats" 3
"7905" "delegate" "count" 4
"7906" "delegated" "legislative" 4
"7907" "delegation" "s" 3
"7908" "delenda" "est" 4
"7909" "delete" "button" 10
"7910" "deleted" "scenes" 13
"7911" "deleting" "twitter" 5
"7912" "deleuze" "s" 5
"7913" "delft" "tiles" 3
"7914" "delftware" "tile" 3
"7915" "delhi" "high" 8
"7916" "deli" "counter" 6
"7917" "delia" "s" 12
"7918" "deliberate" "attempt" 11
"7919" "deliberately" "left" 5
"7920" "delicate" "balance" 8
"7921" "delicately" "balanced" 5
"7922" "delicious" "food" 62
"7923" "deliciousandhealthy" "com" 6
"7924" "deliciously" "fresh" 3
"7925" "delight" "upon" 4
"7926" "delightful" "book" 5
"7927" "delightfully" "named" 3
"7928" "delillo" "s" 7
